method,baseline_top1_pct,baseline_macro_f1_pct,baseline_mean_max_confidence,grey_scale_top1_pct,grey_scale_change_pp,grey_scale_consistency_pct,grey_scale_macro_f1_pct,grey_scale_mean_max_confidence,hue_top1_pct,hue_change_pp,hue_consistency_pct,hue_macro_f1_pct,hue_mean_max_confidence,patch_shuffle_top1_pct,patch_shuffle_change_pp,patch_shuffle_consistency_pct,patch_shuffle_macro_f1_pct,patch_shuffle_mean_max_confidence
ResNet-50 head,97.79999852180481,97.80768189664106,0.9745194315910339,96.39999866485596,-1.3999998569488525,97.00000286102295,96.41966052620259,0.9632571935653687,96.20000123977661,-1.5999972820281982,97.00000286102295,96.21937560529726,0.9729796051979065,89.99999761581421,-7.800000905990601,91.79999828338623,90.0046024479897,0.9282742738723755
ViT-B/16 head,98.7999975681305,98.79987876338653,0.9741754531860352,96.60000205039978,-2.199995517730713,96.60000205039978,96.59071597805269,0.9582090377807617,98.00000190734863,-0.7999956607818604,98.4000027179718,97.99744428574023,0.9657447338104248,92.59999990463257,-6.199997663497925,92.79999732971191,92.63194008332867,0.9021444916725159
CLIP ViT-B/32 head,97.79999852180481,97.7816225681602,0.5429311990737915,95.39999961853027,-2.399998903274536,95.59999704360962,95.41383997110522,0.4927247166633606,97.79999852180481,0.0,97.39999771118164,97.79924436971022,0.5187498927116394,83.99999737739563,-13.80000114440918,83.60000252723694,84.14081444611078,0.33726733922958374
CLIP ViT-B/32 zero-shot,96.79999947547913,96.7547188294365,0.9493024945259094,94.40000057220459,-2.399998903274536,96.79999947547913,94.35563209914655,0.9301115870475769,95.80000042915344,-0.9999990463256836,98.4000027179718,95.7434191888408,0.9439029693603516,83.99999737739563,-12.800002098083496,84.3999981880188,84.04837662687127,0.8195226192474365
