model_name,transformation,n_images,top_1_accuracy_pct,macro_f1_pct,mean_max_confidence,baseline_accuracy_pct,transformed_accuracy_pct,accuracy_change_pp,accuracy_drop_pp,prediction_consistency_pct
resnet50,grey_scale,500,96.39999866485596,96.41966052620259,0.9632571935653687,97.79999852180481,96.39999866485596,-1.3999998569488525,1.3999998569488525,97.00000286102295
resnet50,hue,500,96.20000123977661,96.21937560529726,0.9729796051979065,97.79999852180481,96.20000123977661,-1.5999972820281982,1.5999972820281982,97.00000286102295
resnet50,patch_shuffle,500,89.99999761581421,90.0046024479897,0.9282742738723755,97.79999852180481,89.99999761581421,-7.800000905990601,7.800000905990601,91.79999828338623
vit_b_16,grey_scale,500,96.60000205039978,96.59071597805269,0.9582090377807617,98.7999975681305,96.60000205039978,-2.199995517730713,2.199995517730713,96.60000205039978
vit_b_16,hue,500,98.00000190734863,97.99744428574023,0.9657447338104248,98.7999975681305,98.00000190734863,-0.7999956607818604,0.7999956607818604,98.4000027179718
vit_b_16,patch_shuffle,500,92.59999990463257,92.63194008332867,0.9021444916725159,98.7999975681305,92.59999990463257,-6.199997663497925,6.199997663497925,92.79999732971191
clip_vit_b_32,grey_scale,500,95.39999961853027,95.41383997110522,0.4927247166633606,97.79999852180481,95.39999961853027,-2.399998903274536,2.399998903274536,95.59999704360962
clip_vit_b_32,hue,500,97.79999852180481,97.79924436971022,0.5187498927116394,97.79999852180481,97.79999852180481,0.0,0.0,97.39999771118164
clip_vit_b_32,patch_shuffle,500,83.99999737739563,84.14081444611078,0.33726733922958374,97.79999852180481,83.99999737739563,-13.80000114440918,13.80000114440918,83.60000252723694
clip_vit_b_32_zero_shot,grey_scale,500,94.40000057220459,94.35563209914655,0.9301115870475769,96.79999947547913,94.40000057220459,-2.399998903274536,2.399998903274536,96.79999947547913
clip_vit_b_32_zero_shot,hue,500,95.80000042915344,95.7434191888408,0.9439029693603516,96.79999947547913,95.80000042915344,-0.9999990463256836,0.9999990463256836,98.4000027179718
clip_vit_b_32_zero_shot,patch_shuffle,500,83.99999737739563,84.04837662687127,0.8195226192474365,96.79999947547913,83.99999737739563,-12.800002098083496,12.800002098083496,84.3999981880188
