model_name             , displacement, n_directions, mean_accuracy_pct, mean_accuracy_change_pp, mean_consistency_pct, min_accuracy_pct , max_accuracy_pct , min_consistency_pct, max_consistency_pct
resnet50               ,            0,            1, 97.79999852180481, 0.0                    ,   100.0             , 97.79999852180481, 97.79999852180481,  100.0             ,  100.0
resnet50               ,            8,            4, 97.39999920129776, -0.39999932050704956   ,    99.25000071525574, 97.2000002861023 , 97.60000109672546,   99.00000095367432,   99.40000176429749
resnet50               ,           16,            4, 97.00000137090683, -0.7999971508979797    ,    98.79999905824661, 96.60000205039978, 97.2000002861023 ,   98.00000190734863,   99.19999837875366
resnet50               ,           32,            4, 97.25000113248825, -0.5499973893165588    ,    98.60000014305115, 97.00000286102295, 97.79999852180481,   98.19999933242798,   99.00000095367432
vit_b_16               ,            0,            1, 98.7999975681305 , 0.0                    ,   100.0             , 98.7999975681305 , 98.7999975681305 ,  100.0             ,  100.0
vit_b_16               ,            8,            4, 98.54999929666519, -0.2499982714653015    ,    99.09999966621399, 98.19999933242798, 98.7999975681305 ,   98.7999975681305 ,   99.59999918937683
vit_b_16               ,           16,            4, 98.6500009894371 , -0.1499965786933899    ,    99.60000067949295, 98.4000027179718 , 99.00000095367432,   99.40000176429749,   99.80000257492065
vit_b_16               ,           32,            4, 98.30000251531601, -0.49999505281448364   ,    98.84999990463257, 98.00000190734863, 98.4000027179718 ,   98.60000014305115,   99.00000095367432
clip_vit_b_32          ,            0,            1, 97.79999852180481, 0.0                    ,   100.0             , 97.79999852180481, 97.79999852180481,  100.0             ,  100.0
clip_vit_b_32          ,            8,            4, 97.6500004529953 , -0.14999806880950928   ,    97.59999960660934, 97.39999771118164, 98.00000190734863,   97.2000002861023 ,   98.00000190734863
clip_vit_b_32          ,           16,            4, 97.40000069141388, -0.3999978303909302    ,    97.1000000834465 , 97.00000286102295, 97.79999852180481,   96.60000205039978,   97.39999771118164
clip_vit_b_32          ,           32,            4, 97.10000157356262, -0.6999969482421875    ,    97.80000001192093, 96.60000205039978, 97.60000109672546,   97.00000286102295,   98.7999975681305
clip_vit_b_32_zero_shot,            0,            1, 96.79999947547913, 0.0                    ,   100.0             , 96.79999947547913, 96.79999947547913,  100.0             ,  100.0
clip_vit_b_32_zero_shot,            8,            4, 95.69999873638153, -1.1000007390975952    ,    97.50000089406967, 94.59999799728394, 96.79999947547913,   97.00000286102295,   98.4000027179718
clip_vit_b_32_zero_shot,           16,            4, 95.19999921321869, -1.600000262260437     ,    96.5499997138977 , 94.40000057220459, 95.80000042915344,   95.99999785423279,   97.2000002861023
clip_vit_b_32_zero_shot,           32,            4, 95.29999941587448, -1.5000000596046448    ,    97.34999984502792, 94.9999988079071 , 95.99999785423279,   97.00000286102295,   97.60000109672546
