model  , score      , csa_pct          , auroc_near  , auroc_far   , auroc_all    , threshold          , threshold_percentile, known_test_acceptance_rate, near_rejection_rate, far_rejection_rate , all_rejection_rate , fpr_at_95tpr_near, fpr_at_95tpr_far, fpr_at_95tpr_all
vanilla, mls        , 94.54            , 0.8022084375, 0.882529875 , 0.84236915625, -6.057860875129698 ,                 95.0,                     0.9422, 0.34750000000000003, 0.54125            , 0.44437499999999996,           0.6525 ,          0.45875,         0.555625
gcsc   , mls        , 95.12            , 0.82649725  , 0.9092350625, 0.86786615625, -6.2759488105773915,                 95.0,                     0.946 , 0.37124999999999997, 0.5900000000000001 , 0.48062499999999997,           0.62875,          0.41   ,         0.519375
proser , mls        , 94.63000000000001, 0.8031128125, 0.886945375 , 0.84502909375, -5.967806935310364 ,                 95.0,                     0.9464, 0.3275             , 0.5                , 0.41374999999999995,           0.6725 ,          0.5    ,         0.58625
proser , placeholder, 94.63000000000001, 0.7796471875, 0.885724875 , 0.83268603125, 0.5339976549148571 ,                 95.0,                     0.9491, 0.29874999999999996, 0.48250000000000004, 0.390625           ,           0.70125,          0.5175 ,         0.609375
