method,lambda_dg,rho,photo_accuracy_pct,photo_macro_f1_pct,art_painting_accuracy_pct,art_painting_macro_f1_pct,cartoon_accuracy_pct,cartoon_macro_f1_pct,mean_source_accuracy_pct,mean_source_macro_f1_pct,worst_source_macro_f1_pct,worst_source_domain,target_accuracy_pct,target_macro_f1_pct,target_accuracy_change_pp,target_macro_f1_change_pp,source_domain_separability_pct,separability_chance_pct,sharpness_loss,sharpness_perturbed_loss,sharpness_delta,sharpness_radius
erm,,,96.10778443113772,95.52746420059741,92.6829268292683,92.64183916078636,94.66950959488273,95.37243002332842,94.48674028509625,94.5139111282374,92.64183916078636,art_painting,55.71392211758717,55.9009191816077,0.0,0.0,86.37873754152824,33.333333333333336,0.19184701144695282,0.7919116020202637,0.6000645756721497,0.05
dan_dg,1.0,,94.311377245509,93.23501711244762,89.02439024390245,89.35444495826553,92.11087420042644,92.08628287020336,91.81554722994595,91.55858164697217,89.35444495826553,art_painting,68.43980656655637,72.36524813682419,12.725884448969204,16.464328955216494,80.06644518272425,33.333333333333336,0.21741275489330292,0.8485755920410156,0.6311628222465515,0.05
sam,,0.05,97.30538922155688,96.77314010699278,92.4390243902439,92.33922988425158,95.73560767590618,96.23432264339911,95.16000709590232,95.11556421154783,92.33922988425158,art_painting,64.5456859251718,67.64007399662094,8.831763807584629,11.739154815013244,86.37873754152824,33.333333333333336,0.0726027563214302,0.21391141414642334,0.14130866527557373,0.05
dan_dg_lambda0.1,0.1,,95.50898203592814,94.66707742887618,91.46341463414635,91.23569913304047,91.68443496801706,92.16514315036353,92.88561054603052,92.68930657076005,91.23569913304047,art_painting,71.69763298549249,72.63320192631406,15.983710867905323,16.73228274470636,81.3953488372093,33.333333333333336,0.15015004575252533,0.8870241045951843,0.7368740439414978,0.05
dan_dg_lambda10,10.0,,41.31736526946108,21.543285931628567,25.121951219512194,15.38865534411816,18.123667377398718,11.235869774199026,28.187661288790665,16.055937016648585,11.235869774199026,cartoon,10.56248409264444,7.8374056399639835,-45.15143802494273,-48.063513541643715,48.837209302325576,33.333333333333336,1.854831576347351,4.103158473968506,2.2483267784118652,0.05
