method,key,photo_accuracy_pct,photo_macro_f1_pct,art_painting_accuracy_pct,art_painting_macro_f1_pct,cartoon_accuracy_pct,cartoon_macro_f1_pct,mean_source_accuracy_pct,mean_source_macro_f1_pct,worst_source_macro_f1_pct,target_accuracy_pct,target_macro_f1_pct,target_accuracy_change_pp,target_macro_f1_change_pp,domain_separability_pct
Source-only ERM,erm,96.10778443113772,95.52746420059741,92.6829268292683,92.64183916078636,94.66950959488273,95.37243002332842,94.48674028509625,94.5139111282374,92.64183916078636,55.71392211758717,55.9009191816077,0.0,0.0,99.86263736263736
DAN (MMD),dan,95.80838323353294,94.87755946825882,88.78048780487805,88.84981545645529,94.45628997867804,94.56386103707229,93.01505367236301,92.76374532059548,88.84981545645529,67.80351234410792,66.83589910387934,12.089590226520748,10.934979922271644,89.6978021978022
DANN,dann,89.22155688622755,86.73489959565671,80.73170731707317,80.29582815379153,83.15565031982942,83.2528822079616,84.3696381743767,83.42786998580328,80.29582815379153,41.51183507253754,36.70708852786197,-14.20208704504963,-19.193830653745728,100.0
CDAN,cdan,94.61077844311377,93.87346360564636,90.2439024390244,90.25736246832696,93.60341151385929,94.12453045333108,92.81936413199914,92.75178550910147,90.25736246832696,62.356833799949094,63.124009565440055,6.642911682361927,7.223090383832357,98.48901098901099
